,,,,,,,,,,
Type(number),Type (file name),Date,Authors (full name),Authors (initials),Title,Reference (text),Link (text),Link (http),2nd Link (text),2nd Link (http)
4,galaxy and structure formation,2019-03-20,"Pieter van Dokkum, Shany Danieli, Roberto Abraham, Charlie Conroy, Aaron J. Romanowsky","P. van Dokkum, S. Danieli, R. Abraham, C. Conroy, A.J. Romanowsky",A Second Galaxy Missing Dark Matter in the NGC 1052 Group,"The Astrophysical Journal Letters 874, No. 1, 2019",doi: 10.3847/2041-8213/ab0d92,https://doi.org/10.3847/2041-8213/ab0d92,arXiv:1901.05973,https://export.arxiv.org/abs/1901.05973
4,galaxy and structure formation,2019-03-29,"Jonathan L. Ouellet, Chiara P. Salemi, Joshua W. Foster, Reyco Henning, Zachary Bogorad, Janet M. Conrad, Joseph A. Formaggio, Yonatan Kahn, Joe Minervini, Alexey Radovinsky, Nicholas L. Rodd, Benjamin R. Safdi, Jesse Thaler, Daniel Winklehner, Lindley Winslow","J.L. Ouellet, C.P. Salemi, J.W. Foster, R. Henning, Z. Bogorad, J.M. Conrad, J.A. Formaggio, Y. Kahn, J. Minervini, A. Radovinsky, N.L. Rodd, B.R. Safdi, J. Thaler, D. Winklehner, L. Winslow",Design and implementation of the ABRACADABRA-10 cm axion dark matter search,"Phys. Rev. D 99, 052012, 2019",doi: 10.1103/PhysRevD.99.052012,https://link.aps.org/doi/10.1103/PhysRevD.99.052012,arXiv:1810.12257,https://arxiv.org/abs/1810.12257
1,redshift,2019-02-12,Yves-Henri Sanejouand,Y.-H. Sanejouand,No obvious change in the number density of galaxies up to z ≈ 3.5,"Research Gate, 2019",doi: 10.13140/RG.2.2.34513.99688,https://doi.org/10.13140/RG.2.2.34513.99688,researchgate.net/publication/331099853_No_obvious_change_in_the_number_density_of_galaxies_up_to_z_35,https://www.researchgate.net/publication/331099853_No_obvious_change_in_the_number_density_of_galaxies_up_to_z_35
1,redshift,2010-11-22,"Alexander Unzicker, Karl Fabian","A. Unzicker, K. Fabian",Do Galaxies Change in Size ? An Angular Size Test at Low Redshift with SDSS Data,arXiv:1011.4956 [physics.gen-ph] 2010,arXiv:1011.4956,https://arxiv.org/abs/1011.4956,,
4,galaxy and structure formation,2014-04-29,Stacy S. McGaugh,S.S. McGaugh,A Tale of Two Paradigms: the Mutual Incommensurability of LCDM and MOND,"Canadian Journal of Physics 93, 250, 2015",doi: 10.1139/cjp-2014-0203,https://doi.org/10.1139/cjp-2014-0203,arXiv:1404.7525,https://arxiv.org/abs/1404.7525
4,galaxy and structure formation,2014-09-18,"S. Little, M. Little","S. Little, M. Little",Laboratory test of Newtonʼs law of gravity for small accelerations,"Classical and Quantum Gravity, Volume 31, Number 19, 195008, 2014",doi: 10.1088/0264-9381/31/19/195008,https://doi.org/10.1088/0264-9381/31/19/195008,,
3,nucleosynthesis,2019-01-24,"Ignacio Martin-Navarro, Aaron J. Romanowsky, Jean P. Brodie, Anna Ferre-Mateu, Adebusola Alabi, Duncan A. Forbes, Margarita Sharina, Alexa Villaume, Viraj Pandya, David Martinez-Delgado","I. Martin-Navarro, A.J. Romanowsky, J.P. Brodie, A. Ferre-Mateu, A. Alabi, D.A. Forbes, M. Sharina, A. Villaume, V. Pandya, D. Martinez-Delgado",Extreme chemical abundance ratio suggesting an exotic origin for an ultra-diffuse galaxy,"Monthly Notices of the Royal Astronomical Society 484, Issue 3, p. 3425, April 2019",doi: 10.1093/mnras/stz252,https://doi.org/10.1093/mnras/stz252,arXiv:1901.08068,https://arxiv.org/abs/1901.08068
3,nucleosynthesis,2017-07-14,"Tadafumi Matsuno, Wako Aoki, Timothy C. Beers, Young Sun Lee, Satoshi Honda","T. Matsuno, W. Aoki, T.C. Beers, Y. Sun Lee, S. Honda",High-resolution Spectroscopy of Extremely Metal-poor Stars from SDSS/SEGUE. III. Unevolved Stars with [Fe/H] <~ −3.5,"The Astronomical Journal, Volume 154, Number 2, 2017",doi: 10.3847/1538-3881/aa7a08,https://doi.org/10.3847/1538-3881/aa7a08,arXiv:1706.04712,https://arxiv.org/abs/1706.04712
3,nucleosynthesis,1998-11-04,"G. Burbidge, F. Hoyle","G. Burbidge, F. Hoyle",The Origin of Helium and the Other Light Elements,"The Astrophysical Journal 509:L1, December 1998",doi: 10.1086/311756,http://dx.doi.org/10.1086/311756,researchgate.net/publication/231085010_The_Origin_of_Helium_and_the_Other_Light_Elements,https://www.researchgate.net/publication/231085010_The_Origin_of_Helium_and_the_Other_Light_Elements
1,redshift,2019-03-18,"Adam G. Riess, Stefano Casertano, Wenlong Yuan, Lucas M. Macri, Dan Scolnic","A.G. Riess, S. Casertano, W. Yuan, L.M. Macri, D. Scolnic",Large Magellanic Cloud Cepheid Standards Provide a 1% Foundation for the Determination of the Hubble Constant and Stronger Evidence for Physics Beyond LambdaCDM,"Submitted to ApJL, 2019",arXiv:1903.07603,https://arxiv.org/abs/1903.07603,,
1,redshift,2019-01-28,"Guido Risaliti, Elisabeta Lusso","G. Risaliti, E. Lusso",Cosmological constraints from the Hubble diagram of quasars at high redshifts,"Nature Astronomy, Vol. 3, p. 272, 2019",doi: 10.1038/s41550-018-0657-z,https://doi.org/10.1038/s41550-018-0657-z,arXiv:1811.02590,https://arxiv.org/abs/1811.02590
